Ano,Idcomu,Comunidad,Codigo,Funcion,Total
2006,9,cataluña,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.10759762258E9
2006,9,cataluña,14,Política Exterior,5.905413907E7
2006,9,cataluña,21,Pensiones,9025833.5
2006,9,cataluña,22,Otras Prestaciones Económicas,0
2006,9,cataluña,23,Servicios Sociales y Promoción Social,1.36561407256E9
2006,9,cataluña,24,Fomento del Empleo,5.1149874186E8
2006,9,cataluña,26,Acceso a la Vivienda y Fomento de la Edificación,1.8442882161E8
2006,9,cataluña,29,Gestión y Administración de la Seguridad Social,0
2006,9,cataluña,31,Sanidad,7.93044892991E9
2006,9,cataluña,32,Educación,4.98665459439E9
2006,9,cataluña,33,Cultura,3.7986465888E8
2006,9,cataluña,41,"Agricultura, Pesca y Alimentación",3.8577332345E8
2006,9,cataluña,42,Industria y Energía,7.405971686E7
2006,9,cataluña,43,"Comercio, Turismo y Pymes",1.4348152304E8
2006,9,cataluña,44,Subvenciones al Transporte,2.6027195005E8
2006,9,cataluña,45,Infraestructuras,1.28234008374E9
2006,9,cataluña,46,"Investigación, Desarrollo e Innovación",1.856654966E8
2006,9,cataluña,49,Otras Actuaciones de Carácter Económico,1.9492142493E8
2006,9,cataluña,91,Alta Dirección,1.2131959976E8
2006,9,cataluña,92,Servicios de Carácter General,8.1684828435E8
2006,9,cataluña,93,Administración Financiera y Tributaria,1217543
2006,9,cataluña,94,Transferencias a otras Administraciones Públicas,2.75163144874E9
2006,9,cataluña,95,Deuda Pública,1.11539522008E9
2006,11,extremadura,11,Justicia,0
2006,11,extremadura,13,Seguridad Ciudadana e Instituciones Penitenciarias,5034109
2006,11,extremadura,14,Política Exterior,0
2006,11,extremadura,21,Pensiones,5700000
2006,11,extremadura,22,Otras Prestaciones Económicas,0
2006,11,extremadura,23,Servicios Sociales y Promoción Social,2.29277845E8
2006,11,extremadura,24,Fomento del Empleo,3.03142799E8
2006,11,extremadura,26,Acceso a la Vivienda y Fomento de la Edificación,1.09556025E8
2006,11,extremadura,29,Gestión y Administración de la Seguridad Social,0
2006,11,extremadura,31,Sanidad,1.334560709E9
2006,11,extremadura,32,Educación,8.14741444E8
2006,11,extremadura,33,Cultura,8.6868925E7
2006,11,extremadura,41,"Agricultura, Pesca y Alimentación",6.37846407E8
2006,11,extremadura,42,Industria y Energía,4.0368685E7
2006,11,extremadura,43,"Comercio, Turismo y Pymes",1.58664805E8
2006,11,extremadura,44,Subvenciones al Transporte,0
2006,11,extremadura,45,Infraestructuras,5.04142482E8
2006,11,extremadura,46,"Investigación, Desarrollo e Innovación",3.5472905E7
2006,11,extremadura,49,Otras Actuaciones de Carácter Económico,3.3200766E7
2006,11,extremadura,91,Alta Dirección,1.568558E7
2006,11,extremadura,92,Servicios de Carácter General,9.7115362E7
2006,11,extremadura,93,Administración Financiera y Tributaria,1.4899652E7
2006,11,extremadura,94,Transferencias a otras Administraciones Públicas,0
2006,11,extremadura,95,Deuda Pública,1.12482926E8
2006,12,galicia,11,Justicia,8.7909668E7
2006,12,galicia,13,Seguridad Ciudadana e Instituciones Penitenciarias,3.4573787E7
2006,12,galicia,14,Política Exterior,9328576
2006,12,galicia,21,Pensiones,5.0487443E7
2006,12,galicia,22,Otras Prestaciones Económicas,0
2006,12,galicia,23,Servicios Sociales y Promoción Social,3.33580635E8
2006,12,galicia,24,Fomento del Empleo,2.79479591E8
2006,12,galicia,26,Acceso a la Vivienda y Fomento de la Edificación,2.28473716E8
2006,12,galicia,29,Gestión y Administración de la Seguridad Social,0
2006,12,galicia,31,Sanidad,3.157136837E9
2006,12,galicia,32,Educación,1.992100698E9
2006,12,galicia,33,Cultura,1.8694491E8
2006,12,galicia,41,"Agricultura, Pesca y Alimentación",6.24772545E8
2006,12,galicia,42,Industria y Energía,2.12172606E8
2006,12,galicia,43,"Comercio, Turismo y Pymes",1.0843097E8
2006,12,galicia,44,Subvenciones al Transporte,0
2006,12,galicia,45,Infraestructuras,7.85123186E8
2006,12,galicia,46,"Investigación, Desarrollo e Innovación",9.7191463E7
2006,12,galicia,49,Otras Actuaciones de Carácter Económico,3.1158266E7
2006,12,galicia,91,Alta Dirección,3.6697144E7
2006,12,galicia,92,Servicios de Carácter General,2.45012727E8
2006,12,galicia,93,Administración Financiera y Tributaria,7.5597302E7
2006,12,galicia,94,Transferencias a otras Administraciones Públicas,8.20282981E8
2006,12,galicia,95,Deuda Pública,5.14845979E8
2006,13,madrid,11,Justicia,3.23020086E8
2006,13,madrid,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.87418666E8
2006,13,madrid,14,Política Exterior,2.9544376E7
2006,13,madrid,21,Pensiones,0
2006,13,madrid,22,Otras Prestaciones Económicas,0
2006,13,madrid,23,Servicios Sociales y Promoción Social,1.129448111E9
2006,13,madrid,24,Fomento del Empleo,5.25068903E8
2006,13,madrid,26,Acceso a la Vivienda y Fomento de la Edificación,4.61335563E8
2006,13,madrid,29,Gestión y Administración de la Seguridad Social,0
2006,13,madrid,31,Sanidad,5.986378065E9
2006,13,madrid,32,Educación,4.267986804E9
2006,13,madrid,33,Cultura,2.73348025E8
2006,13,madrid,41,"Agricultura, Pesca y Alimentación",5.1550956E7
2006,13,madrid,42,Industria y Energía,2.6492426E7
2006,13,madrid,43,"Comercio, Turismo y Pymes",3.9912439E7
2006,13,madrid,44,Subvenciones al Transporte,0
2006,13,madrid,45,Infraestructuras,1.701071141E9
2006,13,madrid,46,"Investigación, Desarrollo e Innovación",1.23855902E8
2006,13,madrid,49,Otras Actuaciones de Carácter Económico,3.5295294E7
2006,13,madrid,91,Alta Dirección,3.6302804E7
2006,13,madrid,92,Servicios de Carácter General,5.81439334E8
2006,13,madrid,93,Administración Financiera y Tributaria,1.21457334E8
2006,13,madrid,94,Transferencias a otras Administraciones Públicas,5.6659309E7
2006,13,madrid,95,Deuda Pública,6.18551068E8
2006,14,murcia,11,Justicia,0
2006,14,murcia,13,Seguridad Ciudadana e Instituciones Penitenciarias,3.0032851E7
2006,14,murcia,14,Política Exterior,4273519
2006,14,murcia,21,Pensiones,1888236
2006,14,murcia,22,Otras Prestaciones Económicas,0
2006,14,murcia,23,Servicios Sociales y Promoción Social,1.87349675E8
2006,14,murcia,24,Fomento del Empleo,9.6300037E7
2006,14,murcia,26,Acceso a la Vivienda y Fomento de la Edificación,3.1210787E7
2006,14,murcia,29,Gestión y Administración de la Seguridad Social,9873593
2006,14,murcia,31,Sanidad,1.354657467E9
2006,14,murcia,32,Educación,1.015488959E9
2006,14,murcia,33,Cultura,5.2835264E7
2006,14,murcia,41,"Agricultura, Pesca y Alimentación",2.45474409E8
2006,14,murcia,42,Industria y Energía,6.9030463E7
2006,14,murcia,43,"Comercio, Turismo y Pymes",2.9307941E7
2006,14,murcia,44,Subvenciones al Transporte,0
2006,14,murcia,45,Infraestructuras,2.12836478E8
2006,14,murcia,46,"Investigación, Desarrollo e Innovación",2.7616468E7
2006,14,murcia,49,Otras Actuaciones de Carácter Económico,2.0221469E7
2006,14,murcia,91,Alta Dirección,2.0384544E7
2006,14,murcia,92,Servicios de Carácter General,1.6696491E8
2006,14,murcia,93,Administración Financiera y Tributaria,3.0174844E7
2006,14,murcia,94,Transferencias a otras Administraciones Públicas,0
2006,14,murcia,95,Deuda Pública,4.8034337E7
2006,15,navarra,11,Justicia,2.4376626E7
2006,15,navarra,13,Seguridad Ciudadana e Instituciones Penitenciarias,6.8541104E7
2006,15,navarra,14,Política Exterior,1.9991528E7
2006,15,navarra,21,Pensiones,1.3969778E7
2006,15,navarra,22,Otras Prestaciones Económicas,4.3100354E7
2006,15,navarra,23,Servicios Sociales y Promoción Social,1.67302099E8
2006,15,navarra,24,Fomento del Empleo,6.3586354E7
2006,15,navarra,26,Acceso a la Vivienda y Fomento de la Edificación,2.17164417E8
2006,15,navarra,29,Gestión y Administración de la Seguridad Social,0
